id,Property Name,City,Star Rating,Total Price,Main Distance (km)
153,A world of fantasy for luxury units,Makkah,3,MYR 429.06,5.2
154,Afaq Sila Hotel,Makkah,3,MYR 418.20,1.3
155,Afaq Al Marsa Hotel,Makkah,3,MYR 418.20,1.4
156,MARMARA BOUTIQUE,Makkah,3,MYR 418.20,3.2
157,Lualuat Ajyad Hotel,Makkah,3,MYR 416.28,2.5
158,Batoul Ajyad Hotel,Makkah,3,MYR 391.05,1.7
159,Anbriya Furnished Apartments,Makkah,3,MYR 386.97,2.1
160,Barakat Burhan Hotel,Makkah,3,MYR 380.18,2.4
161,Ghazali House,Makkah,3,MYR 380.18,4.4
162,Lamar Ajyad First Hotel Tower B,Makkah,3,MYR 369.32,2.4
163,House,Makkah,3,MYR 365.66,2.9
164,Al Ghazali Suites,Makkah,3,MYR 349.77,2.2
165,Park Inn by Radisson Makkah Aziziyah,Makkah,3,MYR 348.68,6.0
166,Burhan Al-Huda Hotel,Makkah,3,MYR 325.87,2.3
167,Diamond Corner Apartments Al Awali,Makkah,3,MYR 309.58,2.7
168,Gulshane Madina,Makkah,3,MYR 305.38,0.8
169,Moro Ala Hotel Makkah,Makkah,3,MYR 303.06,3.3
170,Al Asr almasi Suite Apartments,Makkah,3,MYR 293.28,3.1
171,Violet Al Azizia Hotel Masjid Al Qatari,Makkah,3,MYR 288.24,2.8
172,Midan Hotel & Suites Al Aziziya,Makkah,3,MYR 286.22,3.0
173,SAS RTL Furnished Apartments,Makkah,3,MYR 273.73,3.6
174,Al Fath Private Apartments,Makkah,3,MYR 271.56,1.8
175,Qubaa Hotel Homes,Makkah,3,MYR 271.56,3.2
176,Jawharat Alia Apartment,Makkah,3,MYR 270.69,3.2
177,SARAYA ALJIWAR HOTEL,Makkah,3,MYR 268.30,2.1
178,Pine In,Makkah,3,MYR 263.96,4.0
179,Peace be upon you,Makkah,3,MYR 244.40,1.3
180,Dafli Hotel,Makkah,3,MYR 244.40,3.0
181,Goodness for serviced units,Makkah,3,MYR 217.25,2.4
182,Al-Joud Apartments 4,Makkah,3,MYR 211.16,4.2
183,Nozol Noor 6,Makkah,3,MYR 209.07,3.8
184,Jasmine rose,Makkah,3,MYR 206.39,3.8
185,Al Joud Hotel Makkah,Makkah,3,MYR 204.97,4.3
186,Ather Al Shaab Rooms and Apartments,Makkah,3,MYR 202,1.3
187,Afraa Hotel,Makkah,3,MYR 184.77,4.6
188,Valley Shadows,Makkah,3,MYR 162.94,2.5
189,Orvana Soul Serviced Apartments,Makkah,3,MYR 162.94,5.9
190,Aya Hostel,Makkah,3,MYR 127.09,1.5
191,Belvedere Hotel,Makkah,2,MYR 760.37,3.2
192,Zaha Taiba Hotel,Makkah,2,MYR 414.68,1.4
193,Flavor Hotel,Makkah,2,MYR 403.85,7.5
194,Gacine Hotel Salam,Makkah,2,MYR 402.45,5.8
195,Itlalat Uhud Hotel,Makkah,2,MYR 401.91,3.3
196,Snood Al Rayan Hotel,Makkah,2,MYR 380.56,1.5
197,Rasia Hotel Madinah,Makkah,2,MYR 374.75,1.6
198,Aljawadain,Makkah,2,MYR 347.60,2.5
199,Nasamat Hotel,Makkah,2,MYR 342.16,2.0
200,Diamond Corner Serviced Apartments,Makkah,2,MYR 325.87,12.5
201,Al-Usul Hotel,Makkah,2,MYR 298.72,1.3
202,E Hotel,Makkah,2,MYR 293.28,12.1
203,My Home 2 Apartments,Makkah,2,MYR 288.70,3.7
204,AL Mokhmalia Serviced Apartments,Makkah,2,MYR 276.99,2.5
205,Harir Furnished Apartments,Makkah,2,MYR 271.56,2.1
206,EZZ apartment,Makkah,2,MYR 271.56,6.7
207,Musk Luxury Hotel Units,Makkah,2,MYR 249.83,3.7
208,Peace Lights Serviced Apartments,Makkah,2,MYR 248.75,10.5
209,ibis Styles Makkah,Makkah,2,MYR 243.43,3.0
210,Hotel 21 Makkah,Makkah,2,MYR 230.28,5.8
211,Violet Al Shisha Hotel,Makkah,2,MYR 228.98,2.8
212,Makarem Mina Hotel,Makkah,2,MYR 224.85,3.6
213,Mawakib Al Kawthar Hotel Makkah,Makkah,2,MYR 219.29,4.4
214,Razana Al Rawdha Hotel,Makkah,2,MYR 217.25,2.8
215,Platinum Styles Serviced Apartments,Makkah,2,MYR 217.25,3.8
216,Onissen City,Makkah,2,MYR 215.23,3.3
217,Abraj Almisk Hotel,Makkah,2,MYR 215.08,2.1
218,Cent Al Azizia Hotel Makkah,Makkah,2,MYR 211.16,5.2
219,Manara Al Muna 2 Hotel Makkah,Makkah,2,MYR 186.63,3.6
220,Mercure Makkah Aziziah,Makkah,2,MYR 183.74,4.7
221,Emaar Legend,Makkah,2,MYR 179.23,5.7
222,Al Rayyan Makiya Towers Hotel,Makkah,2,MYR 165.88,6.1
223,Roya Al Bilad Hotel Makkah,Makkah,2,MYR 158.51,3.6
224,Al Kiram Hotel Al Azizia,Makkah,2,MYR 156.42,4.7
225,Al Hashmeih Tower Hotel Makkah,Makkah,2,MYR 136.87,2.8
226,Diouf Al-Mquam Al-Masy Hotel,Makkah,2,MYR 134.15,3.0
227,Diouf Al Maqam Al Dahabi Hotel,Makkah,2,MYR 120.22,2.4
228,Multaqa Aleiman Hotel,Makkah,2,MYR 119.49,6.2
229,Al Baraka Royal Hotel,Makkah,2,MYR 114.38,3.8
230,Snood Al Azama Hotel,Makkah,2,MYR 100.37,5.5
231,Kinan al Azizyyah,Makkah,1,MYR 99.72,3.4
232,Taj Park Hotel,Makkah,1,MYR 662.61,1.3
233,Anwar AlBaraka Hotel,Makkah,1,MYR 651.74,1.6
234,Orchid Hotel Madinah,Makkah,1,MYR 649.57,1.2
235,Zaha Al Munawara Hotel,Makkah,1,MYR 552.91,1.2
236,Lumian Hotel,Makkah,1,MYR 543.12,2.0
237,Salsbil Almasi Hotel,Makkah,1,MYR 543.12,3.1
238,Zaha Al Madina Hotel,Makkah,1,MYR 525.26,1.2
239,Elite AL Hijra Hotel,Makkah,1,MYR 495.32,3.2
240,GH HOTEL,Makkah,1,MYR 490.16,2.8
241,Maghribi Hotel Apartments 3,Makkah,1,MYR 488.81,1.4
242,Platinum Hotel Al Oula,Makkah,1,MYR 488.81,2.5
243,Al Khulafa Al Faisaliah Hotel,Makkah,1,MYR 48.39,3.7
244,Saif Al Majd Hotel,Makkah,1,MYR 453.11,1.1
245,Amjad Al Deafah Hotel,Makkah,1,MYR 439.93,1.4
246,"Sedra Global Hotel, Madinah",Makkah,1,MYR 436.50,2.5
247,Al Kiswah Towers Hotel,Makkah,1,MYR 434.50,1.5
248,Durrat Balensia Hotel,Makkah,1,MYR 434.50,1.8
249,Al Mustarah Hotel,Makkah,1,MYR 434.50,2.2
250,Makin Hotel,Makkah,1,MYR 434.50,2.8
251,Hotel SDU BOUTIQUE,Makkah,1,MYR 433.41,3.3
252,Nawa Madinah Hotel,Makkah,1,MYR 419.83,7.8
253,Afaq Al Fadi Hotel,Makkah,1,MYR 395.25,1.0
254,Lafif Hotel Al-Khaldia,Makkah,1,MYR 388.87,4.7
